Nama_Obat,Zat_Aktif
GESTAMAG,SIMETHICONE
XEPALIUM 10,FLUNARIZINE HYDROCHLORIDE
XEPAMOL,PARACETAMOL
KANDISTATIN,NYSTATIN
COUGH - EN PLUS,CHLORPHENAMINE MALEATE
COUGH - EN PLUS,PHENYLPROPANOLAMINE HYDROCHLORIDE
COUGH - EN PLUS,DEXTROMETHORPHAN HYDROBROMIDE
COUGH - EN PLUS,AMMONIUM CHLORIDE
RILEVO,LEVOFLOXACIN HEMIHYDRATE
TRAMAZED,TRAMADOL HYDROCHLORIDE
TRAMAZED,PARACETAMOL
TISMAZOL 500,METRONIDAZOLE
TYLONIC,ALLOPURINOL
MEGAPECT,AMBROXOL HYDROCHLORIDE
MESAMOL,PARACETAMOL
ALLERON,CHLORPHENAMINE MALEATE
BROMEVON,BROMHEXINE HYDROCHLORIDE
COMPYRANTEL,PYRANTEL PAMOATE
NIHIZA,PARACETAMOL
NIHIZA,PHENYLPROPANOLAMINE HYDROCHLORIDE
MESAPRIM,SULFAMETHOXAZOLE
MESAPRIM,TRIMETHOPRIM
VOPRAM,METOCLOPRAMIDE HYDROCHLORIDE
GOUTRIC,ALLOPURINOL
MESACOL,THIAMPHENICOL
MESAFLUKIN,PARACETAMOL
MESAFLUKIN,PHENYLPROPANOLAMINE HYDROCHLORIDE
MESAFLUKIN,CHLORPHENAMINE MALEATE
MESAFLUKIN,DEXTROMETHORPHAN HYDROBROMIDE
MESAMAG,DRIED ALUMINIUM HYDROXIDE GEL
MESAMAG,MAGNESIUM HYDROXIDE
MESAMAG,SIMETHICONE
LISKOMA,AMOXICILLIN TRIHYDRATE
MEGASONUM,DEXAMETHASONE
SODIUM BICARBONATE,SODIUM BICARBONATE
COSOPT,TIMOLOL MALEATE
COSOPT,DORZOLAMIDE HYDROCHLORIDE
DIQUAS,DIQUAFOSOL SODIUM
"TAZOPIPE COMBINATION FOR IV INFUSION 2,25 (MEIJI)",TAZOBACTAM
"TAZOPIPE COMBINATION FOR IV INFUSION 2,25 (MEIJI)",PIPERACILLIN HYDRATE
EZERO,ROSUVASTATIN CALCIUM
EZERO,EZETIMIBE
VICCILLIN-SX 1500,KOMBINASI-AMPICILLIN SODIUM
VICCILLIN-SX 1500,SULBACTAM SODIUM
PROCAINE PENICILLIN - G MEIJI,PROCAINE BENZYLPENICILLIN
MEIACT 200,CEFDITOREN PIVOXIL
IKERVIS,CICLOSPORIN
VICCILLIN,AMPICILLIN SODIUM
EYBELIS,OMIDENEPAG ISOPROPYL
FG TROCHES MEIJI,GRAMICIDIN
FG TROCHES MEIJI,NEOMYCIN SULFATE
REMITCH,NALFURAFINE HYDROCHLORIDE
KANAMYCIN MEIJI,KANAMYCIN SULFATE
CLAST,CLEBOPRIDE MALATE
SP TROCHES MEIJI RASA MELON,DEQUALINIUM CHLORIDE
DIBEKACIN MEIJI,DIBEKACIN SULFATE
MEIXAM,CLOXACILLIN SODIUM
STREPTOMYCIN SULFATE MEIJI,STREPTOMYCIN SULFATE
"TAZOPIPE COMBINATION FOR IV INFUSION 4,5 (MEIJI)",TAZOBACTAM
"TAZOPIPE COMBINATION FOR IV INFUSION 4,5 (MEIJI)",PIPERACILLIN HYDRATE
"KANAMYCIN CAPSULES ""MEIJI""",KANAMYCIN MONOSULFATE
MEIXAM 500,CLOXACILLIN SODIUM HYDRATE
NIFLEC,MACROGOL 4000
ADANT DISPO,SODIUM HYALURONATE
WIDECILLIN,AMOXICILLIN TRIHYDRATE
TAFLOTAN,TAFLUPROST
MEIACT MS FINE GRANULES 10%,CEFDITOREN PIVOXIL
SP TROCHES MEIJI RASA STRAWBERRY,DEQUALINIUM CHLORIDE
SP TROCHES MEIJI RASA MINT,DEQUALINIUM CHLORIDE
BIOCOMBIN 5000,PYRIDOXINE HYDROCHLORIDE
BIOCOMBIN 5000,THIAMINE HYDROCHLORIDE
BIOCOMBIN 5000,CYANOCOBALAMIN
MYOTONIC,METHYLERGOMETRINE MALEATE
GASTRINAL-HD,HYDROTALCITE
GASTRINAL-HD,MAGNESIUM HYDROXIDE
GASTRINAL-HD,SIMETHICONE
PRODEXON,DEXAMETHASONE
METRONIDAZOLE BENZOATE,METRONIDAZOLE BENZOATE
GLIMEPIX - 3,GLIMEPIRIDE
GLIMEPIX - 2,GLIMEPIRIDE
MAXPRO,CEFIXIME TRIHYDRATE
MEPROTRIN FORTE,SULFAMETHOXAZOLE
MEPROTRIN FORTE,TRIMETHOPRIM
CLOVERTIL,CLOMIFENE CITRATE
AZOMEP,AZITHROMYCIN DIHYDRATE
PROMUBA,METRONIDAZOLE BENZOATE
FENOLIP SUPRA - 160,FENOFIBRATE
PYREXIN,PARACETAMOL
ZIRCUM KID,ZINC SULFATE MONOHYDRATE
CLINJOS 300,CLINDAMYCIN HYDROCHLORIDE
SOLVINEX,BROMHEXINE HYDROCHLORIDE
MUCOS,AMBROXOL HYDROCHLORIDE
NORAGES,METAMIZOLE SODIUM
PROTOCIN,OXYTOCIN SOLUTION
TALOX 10,ESCITALOPRAM OXALATE
TALOX 20,ESCITALOPRAM OXALATE
LEVOPAR,LEVODOPA
LEVOPAR,BENSERAZIDE HYDROCHLORIDE
ANDONEX,DIPHENHYDRAMINE HYDROCHLORIDE
ANDONEX,DEXTROMETHORPHAN HYDROBROMIDE
ANDONEX,PHENYLEPHRINE HYDROCHLORIDE
ANDONEX,GUAIFENESIN
FURAMIN,FURSULTIAMINE HYDROCHLORIDE
FURAMIN,DEXTROSE MONOHYDRATE
ANCLA,AMOXICILLIN TRIHYDRATE
ANCLA,POTASSIUM CLAVULANATE
ARINIA - 5,ARIPIPRAZOLE
ARINIA - 10,ARIPIPRAZOLE
ARINIA - 15,ARIPIPRAZOLE
TUDERM-N,BETAMETHASONE VALERATE
TUDERM-N,NEOMYCIN SULFATE
PROCELES,DEXCHLORPHENIRAMINE MALEATE
PROCELES,BETAMETHASONE
PREGAMEP 50,PREGABALIN
PREGAMEP 75,PREGABALIN
RINOCET,CETIRIZINE HYDROCHLORIDE
ANCLA FORTE,AMOXICILLIN TRIHYDRATE
ANCLA FORTE,POTASSIUM CLAVULANATE WITH SILICON DIOXIDE
MUCIFAT,SUCRALFATE
ELIGARD,LEUPRORELIN ACETATE
SUPRAMOX FDS,AMOXICILLIN TRIHYDRATE
GLANCER,REBAMIPIDE
DOSIVEC,ERDOSTEINE
OXORIL RASA STRAWBERRY,OXOMEMAZINE HYDROCHLORIDE
OXORIL RASA STRAWBERRY,GUAIFENESIN
MEPROBAL,MECOBALAMIN
PROCETAM,PIRACETAM
NIKOLAM,THIAMPHENICOL
TRICKER 150,RANITIDINE HYDROCHLORIDE
SPASMOLIT,HYOSCINE BUTYLBROMIDE
CLINJOS 150,CLINDAMYCIN HYDROCHLORIDE
EFLIN,PSEUDOEPHEDRINE HYDROCHLORIDE
EFLIN,TRIPROLIDINE HYDROCHLORIDE
KETOSIC,KETOROLAC TROMETAMOL
ARCAPEC,ATTAPULGITE
ARCAPEC,PECTIN
TABAS,TERBUTALINE SULFATE
TUGESAL,TRAMADOL HYDROCHLORIDE
SUPRACHLOR,CHLORAMPHENICOL PALMITATE
INODERM,FLUOCINOLONE ACETONIDE
LUSANOC,KETOCONAZOLE
PRODERMAL,TIOCONAZOLE
ZOTAM,CEFOPERAZONE SODIUM
ZOTAM,SULBACTAM SODIUM
NORAGES,METAMIZOLE SODIUM MONOHYDRATE
BIOCOMBIN,THIAMINE MONONITRATE
BIOCOMBIN,PYRIDOXINE HYDROCHLORIDE
BIOCOMBIN,CYANOCOBALAMIN
CELODIM,CEFTAZIDIME PENTAHYDRATE BUFFERED WITH SODIUM CARBONATE
TRICKER,RANITIDINE HYDROCHLORIDE
GAVISTAL 10,METOCLOPRAMIDE HYDROCHLORIDE
PROHISTIN,LORATADINE
TONOTAN,ISOXSUPRINE HYDROCHLORIDE
ARSINAL,METAMIZOLE SODIUM MONOHYDRATE
ARSINAL,THIAMINE MONONITRATE
ARSINAL,PYRIDOXINE HYDROCHLORIDE
ARSINAL,CYANOCOBALAMIN
ARSINAL,DL-ALPHA-TOCOPHERYL ACETATE
XTANDI,ENZALUTAMIDE
ANCEFA DS,CEFADROXIL MONOHYDRATE
ANCEFA FDS,CEFADROXIL MONOHYDRATE
DEOLIT,URSODEOXYCHOLIC ACID
ROMICEF,CEFPIROME SULFATE MIXED WITH SODIUM CARBONATE
PROVOMER,PYRATHIAZINE THEOCLATE
PROVOMER,PYRIDOXINE HYDROCHLORIDE
PERIFLUX,DOMPERIDONE
PROTEXINAL,PARACETAMOL
PROTEXINAL,CHLORPHENAMINE MALEATE
PROTEXINAL,PHENYLPROPANOLAMINE HYDROCHLORIDE
CETIVAR,CITICOLINE SODIUM
GASTRINAL HD,HYDROTALCITE
GASTRINAL HD,MAGNESIUM HYDROXIDE
GASTRINAL HD,SIMETHICONE
CEFTAZIDIME,CEFTAZIDIME BUFFERED WITH SODIUM CARBONATE
PYREXIN EXTRA,PARACETAMOL
PYREXIN EXTRA,TRAMADOL HYDROCHLORIDE
INTUNAL-F,PARACETAMOL
INTUNAL-F,PHENYLPROPANOLAMINE HYDROCHLORIDE
INTUNAL-F,DEXCHLORPHENIRAMINE MALEATE
INTUNAL-F,GUAIFENESIN
INTUNAL-F,DEXTROMETHORPHAN HYDROBROMIDE
CEFEPIME HYDROCHLORIDE MONOHYDRATE,KOMBINASI-CEFEPIME HCL MONOHYDRATE BUFFERED WITH ARGININE
ROVAPRO 10,ROSUVASTATIN CALCIUM
ROVAPRO 20,ROSUVASTATIN CALCIUM
EFOTAX,CEFOTAXIME SODIUM
MEFIX 500,MEFENAMIC ACID
FEBURIC,FEBUXOSTAT
PRONOVIR,METHISOPRINOL
MEPROXIB 60,ETORICOXIB
MEPROXIB 90,ETORICOXIB
MEPROXIB 120,ETORICOXIB
PROZEPAM 5,DIAZEPAM
ALBUMEP,HUMAN ALBUMIN
LOGAFOX,CEFOPERAZONE SODIUM
MENSIPOX,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE
PROMUBA,METRONIDAZOLE
MEPROSON,METHYLPREDNISOLONE
CO-AMOXICLAV,AMOXICILLIN TRIHYDRATE
CO-AMOXICLAV,KOMBINASI-POTASSIUM CLAVULANATE WITH MICROCRYSTALLINE CELLULOSE
GAVISTAL,METOCLOPRAMIDE HYDROCHLORIDE
LOREMID,LOPERAMIDE HYDROCHLORIDE
SIZORIL 25,CLOZAPINE
CRIAX,CEFTRIAXONE SODIUM
OXORIL,OXOMEMAZINE HYDROCHLORIDE
OXORIL,GUAIFENESIN
CHLORAMPHENICOL PALMITATE,CHLORAMPHENICOL PALMITATE
MEPRO-K,PHYTOMENADIONE
ANCEFA,CEFADROXIL MONOHYDRATE
TB RIF,RIFAMPICIN
MEPROLUT,NORETHISTERONE
CEFPIROME SULFATE,KOMBINASI-CEFPIROME SULPHATE BUFFERED WITH SODIUM BICARBONATE
MAXPRO 100,CEFIXIME TRIHYDRATE
CLOMIFENE CITRATE,CLOMIFENE CITRATE
MEPROVENT,SALBUTAMOL SULFATE
MEPROVENT,IPRATROPIUM BROMIDE MONOHYDRATE
MEPROMAAG,DRIED ALUMINIUM HYDROXIDE GEL
MEPROMAAG,MAGNESIUM HYDROXIDE
MEPROMAAG,SIMETHICONE
ROTAVER,BETAHISTINE MESILATE
PURGATIX,DIBASIC SODIUM PHOSPHATE HEPTAHYDRATE
PURGATIX,SODIUM PHOSPHATE MONOBASIC MONOHYDRATE
INTUNAL,PARACETAMOL
INTUNAL,GUAIFENESIN
INTUNAL,DEXTROMETHORPHAN HYDROBROMIDE
INTUNAL,DEXCHLORPHENIRAMINE MALEATE
INTUNAL,PHENYLPROPANOLAMINE HYDROCHLORIDE
MELIDOX,CHLORDIAZEPOXIDE HYDROCHLORIDE
MELIDOX,CLIDINIUM BROMIDE
PROLEVOX 500,LEVOFLOXACIN HEMIHYDRATE
TB ZET,PYRAZINAMIDE
DONEXAN DX,DIPHENHYDRAMINE HYDROCHLORIDE
DONEXAN DX,DEXTROMETHORPHAN HYDROBROMIDE
DONEXAN DX,PHENYLEPHRINE HYDROCHLORIDE
DONEXAN DX,AMMONIUM CHLORIDE
DONEXAN DX,SODIUM CITRATE DIHYDRATE
ANBIOLID,ROXITHROMYCIN
PROCLOZAM,CLOBAZAM
EXOCID,ESOMEPRAZOLE SODIUM
PRONEURON,DIAZEPAM
PRONEURON,METAMIZOLE SODIUM
SUPRAMOX DS,AMOXICILLIN TRIHYDRATE
MEPROLAR,DESONIDE
TB VIT 6,ISONIAZID
TB VIT 6,PYRIDOXINE HYDROCHLORIDE
MEPROLAR-N,DESONIDE
MEPROLAR-N,NEOMYCIN SULFATE
PROVAGIN,METRONIDAZOLE
PROVAGIN,NYSTATIN
BONCERIN,DIACEREIN
SUPRAMOX,AMOXICILLIN TRIHYDRATE
"X-CAM 7,5",MELOXICAM
X-CAM 15,MELOXICAM
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE
PROCEPIM,KOMBINASI-CEFEPIME HCL MONOHYDRATE BUFFERED WITH ARGININE
LIDOCAINE HYDROCHLORIDE MONOHYDRATE,LIDOCAINE HYDROCHLORIDE MONOHYDRATE
SIZORIL - 100,CLOZAPINE
NIFUDIAR,NIFUROXAZIDE
PROGESTON,ALLYLESTRENOL
TUDIAB,METFORMIN HYDROCHLORIDE
OPM,OMEPRAZOLE PELLET 8.5
ARSITAM,ETHAMBUTOL HYDROCHLORIDE
METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE HYDROCHLORIDE
GENCETRON 4,ONDANSETRON HYDROCHLORIDE DIHYDRATE
ORARHEUMA,PARACETAMOL
ORARHEUMA,IBUPROFEN
GENVASK 5,AMLODIPINE BESILATE
GENVASK 10,AMLODIPINE BESILATE
ORATIFED,TRIPROLIDINE HYDROCHLORIDE
ORATIFED,PSEUDOEPHEDRINE HYDROCHLORIDE
ORATIFED PLUS EXPECTORANT,TRIPROLIDINE HYDROCHLORIDE
ORATIFED PLUS EXPECTORANT,PSEUDOEPHEDRINE HYDROCHLORIDE
ORATIFED PLUS EXPECTORANT,GUAIFENESIN
ORATIFED PLUS COUGH SUPPRESANT,TRIPROLIDINE HYDROCHLORIDE
ORATIFED PLUS COUGH SUPPRESANT,PSEUDOEPHEDRINE HYDROCHLORIDE
ORATIFED PLUS COUGH SUPPRESANT,DEXTROMETHORPHAN HYDROBROMIDE
SULFATGEN,SUCRALFATE
ORATEMP,PARACETAMOL
GENFLAM 50,DICLOFENAC POTASSIUM
PACDIN COUGH RASA STRAWBERRY,PARACETAMOL
PACDIN COUGH RASA STRAWBERRY,CHLORPHENAMINE MALEATE
PACDIN COUGH RASA STRAWBERRY,GUAIFENESIN
LOTAGEN,LORATADINE
ORAPROFEN,IBUPROFEN
GENCINOLON,TRIAMCINOLONE ACETONIDE
PACDIN COUGH,PARACETAMOL
PACDIN COUGH,CHLORPHENAMINE MALEATE
PACDIN COUGH,GUAIFENESIN
ORAPROFEN 400,IBUPROFEN
MIKOZ,MICONAZOLE NITRATE
COUGH'S FRIEND,AMMONIUM CHLORIDE
COUGH'S FRIEND,CHLORPHENAMINE MALEATE
COUGH'S FRIEND,SUCCUS LIQUIRITIAE
GENCEF 125,CEFADROXIL MONOHYDRATE
HISTIGEN 6,BETAHISTINE MESILATE
GENCEF 500,CEFADROXIL MONOHYDRATE
GENXICAM 15,MELOXICAM
ORATEMP EXTRA,PARACETAMOL
ORAPROFEN FORTE,IBUPROFEN
GENAMOX,AMOXICILLIN TRIHYDRATE
G-TAB,GUAIFENESIN
GENTRIZIN,CETIRIZINE HYDROCHLORIDE
GENCOPAN,HYOSCINE BUTYLBROMIDE
GENCOPAN PLUS,PARACETAMOL
GENCOPAN PLUS,HYOSCINE BUTYLBROMIDE
ESPRIGEN,EPERISONE HYDROCHLORIDE
EPERISONE HCI,EPERISONE HYDROCHLORIDE
GENCEF 250,CEFADROXIL MONOHYDRATE
GENLIPID 40,ATORVASTATIN CALCIUM TRIHYDRATE
GENLIPID 20,ATORVASTATIN CALCIUM TRIHYDRATE
METILGEN 8,METHYLPREDNISOLONE
GENCOTRI,SULFAMETHOXAZOLE
GENCOTRI,TRIMETHOPRIM
NIZOGEN,KETOCONAZOLE
METILGEN 4,METHYLPREDNISOLONE
ORATEMP KIDS FORTE,PARACETAMOL
GENPRIDON,DOMPERIDONE
ORATEMP KIDS,PARACETAMOL
CORTIGEN,HYDROCORTISONE ACETATE
METILGEN 16,METHYLPREDNISOLONE
GLENISTAN,MEFENAMIC ACID
GENDEXTIM,DEXAMETHASONE
GENDEXTIM,DEXCHLORPHENIRAMINE MALEATE
RANIGEN,RANITIDINE HYDROCHLORIDE
FLUNARIZINE HYDROCHLORIDE,FLUNARIZINE HYDROCHLORIDE
"GENXICAM 7,5",MELOXICAM
GENMYCIN,GENTAMICIN SULFATE
FORESPI,ROFLUMILAST
FESTARIC,FEBUXOSTAT
METHYLPREDNISOLONE SODIUM SUCCINATE,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE BUFFERED 3 STERILE
RHINOS JUNIOR,PSEUDOEPHEDRINE HYDROCHLORIDE
RHINOS JUNIOR,CHLORPHENAMINE MALEATE
BRICLOT,TICAGRELOR
DEXYCOL,THIAMPHENICOL
VALACICLOVIR HCL MONOHYDRATE,VALACICLOVIR HYDROCHLORIDE MONOHYDRATE
GLUVAS M,GLIMEPIRIDE
GLUVAS M,KOMBINASI-METFORMIN HCL GRANULES DC 95
LEPTICA 75,PREGABALIN
LEPTICA 150,PREGABALIN
FLADEX FORTE,METRONIDAZOLE
TIZOS,CEFTIZOXIME SODIUM
NEURODEX,PYRIDOXINE HYDROCHLORIDE
NEURODEX,THIAMINE NITRATE
NEURODEX,CYANOCOBALAMIN
GLUTIVEN,N(2) - L- ALANYL- L- GLUTAMINE
NOPERTEN 5,LISINOPRIL DIHYDRATE
NOPERTEN 10,LISINOPRIL DIHYDRATE
RHINOS NEO,PSEUDOEPHEDRINE HYDROCHLORIDE
TERMISIL,TERBINAFINE HYDROCHLORIDE
NIRCEF,CEFDINIR
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE
AMINEFRON,ALPHA-KETO-ISOLEUCIN CALCIUM
AMINEFRON,ALPHA-KETO-LEUCINE CALCIUM
AMINEFRON,ALPHA-KETO-PHENYLALANINE CALCIUM
AMINEFRON,ALPHA-HYDROXY METHIONINE CALCIUM
AMINEFRON,ALPHA-KETO-VALINE CALCIUM
AMINEFRON,THREONINE
AMINEFRON,HISTIDINE
AMINEFRON,TYROSINE
AMINEFRON,LYSINE ACETATE
AMINEFRON,TRYPTOPHAN
DEXYMOX FORTE,AMOXICILLIN TRIHYDRATE
VOMIZOLE,PANTOPRAZOLE SODIUM SESQUIHYDRATE
RITEZ,CETIRIZINE HYDROCHLORIDE
RESPIVENT,IPRATROPIUM BROMIDE ANHYDRATE
PRIMADEX,SULFAMETHOXAZOLE
PRIMADEX,TRIMETHOPRIM
VOMETA,DOMPERIDONE
TRAMUS,ATRACURIUM BESILATE
CEFRATAM,CEFOPERAZONE SODIUM
CEFRATAM,SULBACTAM SODIUM 1110 MG
CEFRATAM,CEFOPERAZONE 500 MG
CEFRATAM,SULBACTAM 500 MG
HYDROXIN,HYDROXYCHLOROQUINE SULFATE
ANEROCID,CLINDAMYCIN HYDROCHLORIDE
BERIPLAST P COMBI-SET 1 ML,HUMAN FIBRINOGEN
BERIPLAST P COMBI-SET 1 ML,HUMAN COAGULATION FACTOR XIII
BERIPLAST P COMBI-SET 1 ML,APROTININ
BERIPLAST P COMBI-SET 1 ML,HUMAN THROMBIN
BERIPLAST P COMBI-SET 1 ML,CALCIUM CHLORIDE DIHYDRATE
TENSIVASK,AMLODIPINE BESILATE
MOBAFER,MECOBALAMIN
BERIATE,HUMAN COAGULATION FACTOR VIII
GASTROFER,OMEPRAZOLE SODIUM
DRM,DORIPENEM MONOHYDRATE
FOSMIDEX 1,KOMBINASI-FOSFOMYCIN SODIUM STERILE MIXTURE WITH CITRIC ACID
FOSMIDEX 2,KOMBINASI-FOSFOMYCIN SODIUM STERILE MIXTURE WITH CITRIC ACID
SIRAN FORTE,ACETYLCYSTEINE
TRICEFIN,CEFTRIAXONE SODIUM
TRIPENEM,MEROPENEM TRIHYDRATE BUFFERED SODIUM CARBONATE
URDEX,URSODEOXYCHOLIC ACID
STARCEF,CEFIXIME TRIHYDRATE
CELENOX,CELECOXIB
FIBRION,STREPTOKINASE
PROTAMINE SULFATE,PROTAMINE SULFATE
COLERGIS,BETAMETHASONE
COLERGIS,DEXCHLORPHENIRAMINE MALEATE
AMIKACIN SULFATE,AMIKACIN SULFATE
FONDAPARINUX SODIUM,FONDAPARINUX SODIUM
AGGRAVAN,CILOSTAZOL
GLUMIN XR,METFORMIN HYDROCHLORIDE
SISTENOL,PARACETAMOL
SISTENOL,ACETYLCYSTEINE
SAFETIN,LORATADINE
MONARIN,MONTELUKAST SODIUM
PONDEX,MEFENAMIC ACID
ROCUM,ROCURONIUM BROMIDE
CIPROFLOXACIN,CIPROFLOXACIN
DEXA - M,DEXAMETHASONE
CANDERIN DUO,CANDESARTAN CILEXETIL
CANDERIN DUO,AMLODIPINE BESILATE
ALBAPURE 20,HUMAN ALBUMIN
MAKRODEX,ROXITHROMYCIN
MAGALAT,MAGALDRATE
MEDIXON,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE
MEDIXON,METHYLPREDNISOLONE SODIUM SUCCINATE
CANDERIN 16,CANDESARTAN CILEXETIL
SUPRASMA,SALBUTAMOL SULFATE
MEDIXON,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE STERILE BUFFERED 3 LYOPHILIZED
HYPERIL,RAMIPRIL
TERAZOSIN HCL,TERAZOSIN HYDROCHLORIDE
FORCE D,CHOLECALCIFEROL
BRIXA,APIXABAN
STATOR 10,ATORVASTATIN CALCIUM TRIHYDRATE
STATOR 20,ATORVASTATIN CALCIUM TRIHYDRATE
"DESOXIMETASONE 0,25%",DESOXIMETASONE
ORINOX 60,ETORICOXIB
ORINOX 90,ETORICOXIB
CEFEPIME HCL,CEFEPIME HYDROCHLORIDE BUFFERED WITH ARGININE
ORINOX 120,ETORICOXIB
HYTROZ,TERAZOSIN HYDROCHLORIDE
GELAFUSAL,GELATIN POLYSUCCINATE
DIVITI,FONDAPARINUX SODIUM
SKYCELLFLU QUADRIVALENT NH,"A/GUANGDONG-MAONAN/SWL1536/2019 (H1N1) PDM09-LIKE VIRUS (A/GUANGDONG-MAONAN/SWL1536/2019, CNIC-1909)"
SKYCELLFLU QUADRIVALENT NH,"A/HONG KONG/2671/2019 (H3N2) -LIKE VIRUS (A/HONG KONG/2671/2019,NIB-121)"
SKYCELLFLU QUADRIVALENT NH,"B/WASHINGTON/02/2019-LIKE VIRUS (B/WASHINGTON/02/2019, WILD TYPE)"
SKYCELLFLU QUADRIVALENT NH,"B/PHUKET/3073/2013-LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE)"
PREGNOLIN,ALLYLESTRENOL
CHORIOMON,HUMAN CHORIONIC GONADOTROPHIN
FOSTIMON,UROFOLLITROPIN
VOLEQUIN,LEVOFLOXACIN HEMIHYDRATE
LYOVEN,RETINOL PALMITATE
LYOVEN,DL-ALFA TOCOFEROL
LYOVEN,BIOTIN
LYOVEN,DEXPANTHENOL
LYOVEN,COCARBOXYLASE TETRAHYDRATE
LYOVEN,PYRIDOXINE HYDROCHLORIDE
LYOVEN,NICOTINAMIDE
LYOVEN,RIBOFLAVIN SODIUM PHOSPHATE
LYOVEN,ASCORBIC ACID
LYOVEN,FOLIC ACID
LYOVEN,CYANOCOBALAMIN
LYOVEN,CHOLECALCIFEROL
BOSKA,PARACETAMOL
BOSKA,CAFFEINE
DESLOTINE,DESLORATADINE
PROLUTEX,PROGESTERONE
FRD,FUROSEMIDE
DECULIN,PIOGLITAZONE HYDROCHLORIDE
VOLTADEX 50,DICLOFENAC SODIUM
ULSIDEX,SUCRALFATE
AZITHROMYCIN,KOMBINASI-AZITHROMYCIN DIHYDRATE COATED
CO-AMOXICLAV,POTASSIUM CLAVULANATE WITH MICROCRYSTALLINE CELLULOSE
AMIOSIN,AMIKACIN SULFATE
NOPRES,FLUOXETINE HYDROCHLORIDE
REPACOR,PARECOXIB SODIUM
KETESSE,DEXKETOPROFEN TROMETAMOL
MERIOFERT,MENOTROPHIN
HUMAN ALBUMIN 20% BEHRING,HUMAN ALBUMIN
VOMETRAZ,ONDANSETRON HYDROCHLORIDE DIHYDRATE
LEVICA,LEVOBUPIVACAINE HYDROCHLORIDE MONOHYDRATE
VOMETRAZ 4,ONDANSETRON HYDROCHLORIDE DIHYDRATE
VECTRINE,ERDOSTEINE
GLUMIN XR 500,METFORMIN HYDROCHLORIDE
MERTIGO SR,BETAHISTINE MESILATE
N-ACETYLCYSTEINE,ACETYLCYSTEINE
VOMETRAZ 8,ONDANSETRON HYDROCHLORIDE DIHYDRATE
ATEVIR,ENTECAVIR MONOHYDRATE
AZOMAX,KOMBINASI-AZITHROMYCIN DIHYDRATE COATED
PROSPIDE,REBAMIPIDE
SEVODEX,SEVOFLURANE
GRANON,GRANISETRON HYDROCHLORIDE
MEDIXON 16,METHYLPREDNISOLONE
GLUCODEX,GLICLAZIDE
TETAGAM P,HUMAN TETANUS IMMUNOGLOBULIN
TROLIP 100,FENOFIBRATE
TROLIP 300,FENOFIBRATE
FLUDEXIN,PARACETAMOL
FLUDEXIN,DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE
FLUDEXIN,PHENYLEPHRINE HYDROCHLORIDE
FLUDEXIN,CHLORPHENAMINE MALEATE
ARIPIPRAZOLE,ARIPIPRAZOLE
PRONALGES,KETOPROFEN
TROLIP SUPRA,FENOFIBRATE
FLUOTHANE,HALOTHANE
CEFTUM,KOMBINASI-CEFTAZIDIME PENTAHYDRATE WITH SODIUM CARBONATE
CALCIUM GLUCONATE,CALCIUM GLUCONATE ANHYDRATE
LEPARSON,LEVODOPA
LEPARSON,BENSERAZIDE HYDROCHLORIDE
AZOMAX 500,AZITHROMYCIN DIHYDRATE
CANDERIN 8,CANDESARTAN CILEXETIL
CELOCID,CEFUROXIME AXETIL
BERIPLAST P COMBI-SET,HUMAN FIBRINOGEN
BERIPLAST P COMBI-SET,HUMAN COAGULATION FACTOR XIII
BERIPLAST P COMBI-SET,APROTININ
BERIPLAST P COMBI-SET,HUMAN THROMBIN
BERIPLAST P COMBI-SET,CALCIUM CHLORIDE DIHYDRATE
TENSIVASK DUO,VALSARTAN
TENSIVASK DUO,AMLODIPINE BESILATE
NEBIVOLOL HCL,NEBIVOLOL HYDROCHLORIDE
MXN,MOXIFLOXACIN HYDROCHLORIDE
TRANEXID,TRANEXAMIC ACID
SPORACID,KOMBINASI-KOMBINASI ITRACONAZOLE PELLETS 21.74 W/W
PROPRANOLOL HCL,PROPRANOLOL HYDROCHLORIDE
CEFTAZIDIME PENTAHYDRATE,KOMBINASI-CEFTAZIDIME PENTAHYDRATE WITH SODIUM CARBONATE
GLIQUIDONE,GLIQUIDONE
CLOTIX,CLOPIDOGREL BISULFATE
STRONGER NEO-MINOPHAGEN C,MONOAMMONIUM GLYCYRRHIZINATE
STRONGER NEO-MINOPHAGEN C,GLYCINE
STRONGER NEO-MINOPHAGEN C,CYSTEINE HYDROCHLORIDE HYDRATE
MAGALAT,SIMETHICONE
OMEPRAZOLE SODIUM MONOHYDRATE,KOMBINASI-OMEPRAZOLE SODIUM MONOHYDRATE STERILE (LYOPHILIZED)
DOFEN FORTE,KOMBINASI-IBUPROFEN GRANULES DC 66
