zat_aktif_1,zat_aktif_2,level
abemaciclib,ritonavir,Major
abemaciclib,crizotinib,Moderate
abemaciclib,lorlatinib,Moderate
abemaciclib,zidovudine,Moderate
abemaciclib,deferiprone,Major
abemaciclib,metformin,Moderate
abemaciclib,interferon beta-1a,Moderate
abemaciclib,methotrexate,Moderate
abemaciclib,palbociclib,Moderate
abemaciclib,clotrimazole,Moderate
abemaciclib,brigatinib,Moderate
abemaciclib,oxcarbazepine,Moderate
abemaciclib,phenobarbital,Major
abemaciclib,clarithromycin,Major
abemaciclib,deferasirox,Moderate
abemaciclib,erythromycin,Moderate
abemaciclib,netupitant,Moderate
abemaciclib,carbamazepine,Major
abemaciclib,brentuximab vedotin,Moderate
abemaciclib,ustekinumab,Moderate
alprazolam,sodium citrate,Minor
alprazolam,infliximab,Moderate
alprazolam,lenalidomide,Unknown
alprazolam,magnesium carbonate,Minor
alprazolam,cyanocobalamin,Unknown
alprazolam,etanercept,Moderate
alprazolam,ketoconazole,Major
alprazolam,fluconazole,Major
alprazolam,sucralfate,Unknown
alprazolam,leflunomide,Unknown
alprazolam,methylprednisolone,Minor
alprazolam,hydrocortisone,Unknown
alprazolam,fluorouracil,Unknown
alprazolam,enzalutamide,Moderate
alprazolam,dexamethasone,Minor
alprazolam,betamethasone,Minor
alprazolam,folic acid,Unknown
alprazolam,golimumab,Moderate
alprazolam,magnesium hydroxide,Minor
alprazolam,prednisolone,Minor
alprazolam,tretinoin,Unknown
alprazolam,potassium chloride,Unknown
alprazolam,acetylcysteine,Unknown
alprazolam,adalimumab,Moderate
alprazolam,apalutamide,Moderate
alprazolam,dasatinib,Moderate
alprazolam,docetaxel,Unknown
alprazolam,ethinylestradiol,Minor
alprazolam,budesonide,Unknown
alprazolam,ondansetron,Unknown
alprazolam,ribociclib,Moderate
alprazolam,calcitriol,Unknown
alprazolam,triamcinolone,Unknown
alprazolam,aminophylline,Minor
alprazolam,secukinumab,Moderate
alprazolam,paclitaxel,Unknown
alprazolam,epinephrine,Unknown
alprazolam,guselkumab,Moderate
alprazolam,sodium bicarbonate,Minor
alprazolam,fluticasone,Unknown
alprazolam,lidocaine,Moderate
alprazolam,capecitabine,Unknown
alprazolam,bortezomib,Unknown
alprazolam,oxaliplatin,Unknown
alprazolam,crizotinib,Moderate
alprazolam,ibuprofen,Unknown
alprazolam,lorlatinib,Moderate
alprazolam,metformin,Unknown
alprazolam,cisplatin,Unknown
alprazolam,sulfasalazine,Unknown
alprazolam,mesalazine,Unknown
alprazolam,amphotericin b,Unknown
alprazolam,tacrolimus,Moderate
alprazolam,bacitracin,Unknown
alprazolam,nystatin,Unknown
alprazolam,cyclophosphamide,Unknown
alprazolam,metronidazole,Unknown
alprazolam,prednisone,Minor
alprazolam,diclofenac,Unknown
alprazolam,lansoprazole,Unknown
alprazolam,methotrexate,Unknown
alprazolam,clotrimazole,Moderate
alprazolam,mupirocin,Unknown
alprazolam,brigatinib,Moderate
alprazolam,acetylsalicylic acid,Unknown
alprazolam,celecoxib,Unknown
alprazolam,ixekizumab,Moderate
alprazolam,clarithromycin,Moderate
alprazolam,simvastatin,Unknown
alprazolam,deferasirox,Moderate
alprazolam,calcium carbonate,Minor
alprazolam,famotidine,Unknown
alprazolam,magaldrate,Minor
alprazolam,erythromycin,Moderate
alprazolam,minoxidil,Moderate
alprazolam,tetracaine,Moderate
alprazolam,amoxicillin,Unknown
alprazolam,exemestane,Unknown
alprazolam,ustekinumab,Moderate
alprazolam,cimetidine,Moderate
sodium citrate,ferrous fumarate,Moderate
sodium citrate,estazolam,Minor
sodium citrate,dasatinib,Moderate
sodium citrate,ofloxacin,Moderate
sodium citrate,ciprofloxacin,Moderate
sodium citrate,tacrolimus,Minor
sodium citrate,chlordiazepoxide,Minor
sodium citrate,axitinib,Minor
sodium citrate,methotrexate,Minor
sodium citrate,ferrous gluconate,Moderate
sodium citrate,lithium carbonate,Moderate
sodium citrate,acetylsalicylic acid,Moderate
sodium citrate,erythromycin,Minor
sodium citrate,digoxin,Minor
sodium citrate,mycophenolate mofetil,Moderate
lovastatin,infliximab,Moderate
lovastatin,lenalidomide,Major
lovastatin,cyanocobalamin,Unknown
lovastatin,etanercept,Moderate
lovastatin,ketoconazole,Major
lovastatin,fluconazole,Major
lovastatin,sucralfate,Unknown
lovastatin,pomalidomide,Moderate
lovastatin,leflunomide,Major
lovastatin,hydrocortisone,Unknown
lovastatin,enzalutamide,Moderate
lovastatin,dexamethasone,Unknown
lovastatin,folic acid,Unknown
lovastatin,golimumab,Moderate
lovastatin,chloramphenicol,Moderate
lovastatin,prednisolone,Unknown
lovastatin,potassium chloride,Unknown
lovastatin,adalimumab,Moderate
lovastatin,apalutamide,Moderate
lovastatin,dasatinib,Moderate
lovastatin,docetaxel,Moderate
lovastatin,budesonide,Unknown
lovastatin,ondansetron,Unknown
lovastatin,ribociclib,Moderate
lovastatin,calcitriol,Unknown
lovastatin,triamcinolone,Unknown
lovastatin,secukinumab,Moderate
lovastatin,paclitaxel,Moderate
lovastatin,epinephrine,Unknown
lovastatin,guselkumab,Moderate
lovastatin,sodium bicarbonate,Unknown
lovastatin,fluticasone,Unknown
lovastatin,lidocaine,Unknown
lovastatin,capecitabine,Unknown
lovastatin,bortezomib,Moderate
lovastatin,oxaliplatin,Moderate
lovastatin,crizotinib,Moderate
lovastatin,ibuprofen,Unknown
lovastatin,lorlatinib,Moderate
lovastatin,iopromide,Unknown
lovastatin,metformin,Unknown
lovastatin,cisplatin,Moderate
lovastatin,sulfasalazine,Unknown
lovastatin,mesalazine,Unknown
lovastatin,tacrolimus,Moderate
lovastatin,nystatin,Unknown
lovastatin,cyclophosphamide,Unknown
lovastatin,metronidazole,Moderate
lovastatin,prednisone,Unknown
lovastatin,interferon beta-1a,Moderate
lovastatin,diclofenac,Unknown
lovastatin,lansoprazole,Moderate
lovastatin,methotrexate,Moderate
lovastatin,palbociclib,Moderate
lovastatin,clotrimazole,Moderate
lovastatin,brigatinib,Moderate
lovastatin,acetylsalicylic acid,Unknown
lovastatin,celecoxib,Unknown
lovastatin,ixekizumab,Moderate
lovastatin,clarithromycin,Major
lovastatin,simvastatin,Moderate
lovastatin,deferasirox,Moderate
lovastatin,famotidine,Unknown
lovastatin,erythromycin,Major
lovastatin,minoxidil,Unknown
lovastatin,amoxicillin,Unknown
lovastatin,pegaspargase,Moderate
lovastatin,exemestane,Unknown
lovastatin,brentuximab vedotin,Moderate
lovastatin,ustekinumab,Moderate
lovastatin,cimetidine,Moderate
infliximab,lenalidomide,Major
infliximab,etanercept,Major
infliximab,ibrutinib,Major
infliximab,medroxyprogesterone acetate,Moderate
infliximab,clozapine,Major
infliximab,pomalidomide,Major
infliximab,leflunomide,Major
infliximab,methylprednisolone,Major
infliximab,hydrocortisone,Major
infliximab,fluorouracil,Major
infliximab,rivaroxaban,Moderate
infliximab,dexamethasone,Major
infliximab,betamethasone,Major
infliximab,dienogest,Moderate
infliximab,golimumab,Major
infliximab,chloramphenicol,Moderate
infliximab,prednisolone,Major
infliximab,basiliximab,Major
infliximab,adalimumab,Major
infliximab,dasatinib,Major
infliximab,docetaxel,Major
infliximab,drospirenone,Moderate
infliximab,ethinylestradiol,Moderate
infliximab,baricitinib,Major
infliximab,zanubrutinib,Major
infliximab,budesonide,Major
infliximab,ribociclib,Major
infliximab,triamcinolone,Major
infliximab,isoniazid,Moderate
infliximab,aminophylline,Moderate
infliximab,secukinumab,Major
infliximab,cladribine,Major
infliximab,everolimus,Major
infliximab,paclitaxel,Major
infliximab,levodopa,Moderate
infliximab,guselkumab,Major
infliximab,lidocaine,Moderate
infliximab,capecitabine,Major
infliximab,bortezomib,Major
infliximab,decitabine,Major
infliximab,oxaliplatin,Major
infliximab,crizotinib,Moderate
infliximab,zidovudine,Major
infliximab,deferiprone,Major
infliximab,cisplatin,Major
infliximab,etonogestrel,Moderate
infliximab,tacrolimus,Major
infliximab,cyclophosphamide,Major
infliximab,metronidazole,Moderate
infliximab,prednisone,Major
infliximab,interferon beta-1a,Moderate
infliximab,vedolizumab,Major
infliximab,nifedipine,Moderate
infliximab,methotrexate,Major
infliximab,palbociclib,Major
infliximab,brigatinib,Major
infliximab,zinc sulfate,Minor
infliximab,norethisterone,Moderate
infliximab,phenobarbital,Moderate
infliximab,trifluridine,Major
infliximab,nimodipine,Moderate
infliximab,levonorgestrel,Moderate
infliximab,linezolid,Major
infliximab,ixekizumab,Major
infliximab,simvastatin,Moderate
infliximab,selinexor,Major
infliximab,mycophenolate mofetil,Major
infliximab,pegaspargase,Major
infliximab,carbamazepine,Moderate
infliximab,brentuximab vedotin,Major
infliximab,ustekinumab,Major
infliximab,rituximab,Major
infliximab,apixaban,Moderate
lenalidomide,cyanocobalamin,Unknown
lenalidomide,dutasteride,Unknown
lenalidomide,etanercept,Major
lenalidomide,ketoconazole,Unknown
lenalidomide,fluconazole,Unknown
lenalidomide,ibrutinib,Moderate
lenalidomide,sucralfate,Unknown
lenalidomide,clozapine,Major
lenalidomide,leflunomide,Major
lenalidomide,hydrocortisone,Unknown
lenalidomide,enzalutamide,Moderate
lenalidomide,dexamethasone,Unknown
lenalidomide,folic acid,Unknown
lenalidomide,golimumab,Major
lenalidomide,chloramphenicol,Moderate
lenalidomide,prednisolone,Unknown
lenalidomide,potassium chloride,Unknown
lenalidomide,adalimumab,Major
lenalidomide,apalutamide,Moderate
lenalidomide,docetaxel,Unknown
lenalidomide,drospirenone,Major
lenalidomide,ethinylestradiol,Major
lenalidomide,baricitinib,Major
lenalidomide,budesonide,Unknown
lenalidomide,ondansetron,Unknown
lenalidomide,calcitriol,Unknown
lenalidomide,triamcinolone,Unknown
lenalidomide,ofloxacin,Unknown
lenalidomide,ciprofloxacin,Unknown
lenalidomide,cladribine,Major
lenalidomide,voriconazole,Unknown
lenalidomide,latanoprost,Unknown
lenalidomide,fluticasone,Unknown
lenalidomide,trimethoprim,Unknown
lenalidomide,lidocaine,Unknown
lenalidomide,meloxicam,Unknown
lenalidomide,bortezomib,Unknown
lenalidomide,ibuprofen,Unknown
lenalidomide,carvedilol,Unknown
lenalidomide,zidovudine,Moderate
lenalidomide,deferiprone,Major
lenalidomide,pregabalin,Unknown
lenalidomide,metformin,Unknown
lenalidomide,risperidone,Unknown
lenalidomide,tacrolimus,Unknown
lenalidomide,nystatin,Unknown
lenalidomide,cyclophosphamide,Unknown
lenalidomide,metronidazole,Unknown
lenalidomide,prednisone,Unknown
lenalidomide,interferon beta-1a,Moderate
lenalidomide,lansoprazole,Unknown
lenalidomide,valsartan,Unknown
lenalidomide,nifedipine,Unknown
lenalidomide,methotrexate,Moderate
lenalidomide,clotrimazole,Unknown
lenalidomide,tobramycin,Unknown
lenalidomide,brigatinib,Moderate
lenalidomide,acetylsalicylic acid,Unknown
lenalidomide,furosemide,Unknown
lenalidomide,celecoxib,Unknown
lenalidomide,hydrochlorothiazide,Unknown
lenalidomide,clarithromycin,Unknown
lenalidomide,fenofibrate,Unknown
lenalidomide,simvastatin,Major
lenalidomide,famotidine,Unknown
lenalidomide,darbepoetin alfa,Major
lenalidomide,irbesartan,Unknown
lenalidomide,digoxin,Moderate
lenalidomide,amoxicillin,Unknown
lenalidomide,isosorbide mononitrate,Unknown
lenalidomide,pegaspargase,Moderate
lenalidomide,carbamazepine,Unknown
lenalidomide,brentuximab vedotin,Moderate
lenalidomide,ustekinumab,Moderate
cholecalciferol,magnesium carbonate,Moderate
cholecalciferol,magnesium hydroxide,Moderate
cholecalciferol,rifapentine,Moderate
cholecalciferol,calcitriol,Major
cholecalciferol,rifampicin,Moderate
cholecalciferol,isoniazid,Moderate
cholecalciferol,ergocalciferol,Major
cholecalciferol,oxcarbazepine,Moderate
cholecalciferol,phenobarbital,Moderate
cholecalciferol,hydrochlorothiazide,Moderate
cholecalciferol,digoxin,Moderate
cholecalciferol,carbamazepine,Moderate
cholecalciferol,cimetidine,Minor
nicotinamide,leflunomide,Major
nicotinamide,insulin lispro,Moderate
nicotinamide,metformin,Moderate
nicotinamide,interferon beta-1a,Moderate
nicotinamide,insulin glargine,Moderate
nicotinamide,methotrexate,Moderate
nicotinamide,empagliflozin,Moderate
nicotinamide,lixisenatide,Moderate
nicotinamide,pegaspargase,Moderate
nicotinamide,carbamazepine,Minor
nicotinamide,brentuximab vedotin,Moderate
potassium iodide,eplerenone,Major
potassium iodide,piroxicam,Moderate
potassium iodide,trimethoprim,Major
potassium iodide,meloxicam,Moderate
potassium iodide,ibuprofen,Moderate
potassium iodide,mefenamic acid,Moderate
potassium iodide,diclofenac,Moderate
potassium iodide,valsartan,Major
potassium iodide,tolvaptan,Moderate
potassium iodide,lithium carbonate,Moderate
potassium iodide,ketoprofen,Moderate
potassium iodide,irbesartan,Major
ferrous fumarate,magnesium carbonate,Moderate
ferrous fumarate,magnesium hydroxide,Moderate
ferrous fumarate,chloramphenicol,Moderate
ferrous fumarate,ofloxacin,Moderate
ferrous fumarate,ciprofloxacin,Moderate
ferrous fumarate,levodopa,Moderate
ferrous fumarate,sodium bicarbonate,Moderate
ferrous fumarate,deferiprone,Moderate
ferrous fumarate,lansoprazole,Moderate
ferrous fumarate,zinc sulfate,Minor
ferrous fumarate,entacapone,Moderate
ferrous fumarate,calcium carbonate,Moderate
ferrous fumarate,magaldrate,Moderate
ferrous fumarate,mycophenolate mofetil,Minor
ferrous fumarate,cimetidine,Minor
magnesium carbonate,ketoconazole,Moderate
magnesium carbonate,estazolam,Minor
magnesium carbonate,magnesium hydroxide,Moderate
magnesium carbonate,dasatinib,Moderate
magnesium carbonate,calcitriol,Moderate
magnesium carbonate,rifampicin,Moderate
magnesium carbonate,ofloxacin,Moderate
magnesium carbonate,ciprofloxacin,Moderate
magnesium carbonate,ergocalciferol,Moderate
magnesium carbonate,levodopa,Minor
magnesium carbonate,timolol,Minor
magnesium carbonate,capecitabine,Minor
magnesium carbonate,carvedilol,Minor
magnesium carbonate,mefenamic acid,Minor
magnesium carbonate,deferiprone,Moderate
magnesium carbonate,tacrolimus,Minor
magnesium carbonate,chlordiazepoxide,Minor
magnesium carbonate,axitinib,Minor
magnesium carbonate,ferrous gluconate,Moderate
magnesium carbonate,acetylsalicylic acid,Moderate
magnesium carbonate,famotidine,Minor
magnesium carbonate,erythromycin,Minor
magnesium carbonate,digoxin,Minor
magnesium carbonate,mycophenolate mofetil,Moderate
magnesium carbonate,cimetidine,Minor
cyanocobalamin,fluconazole,Unknown
cyanocobalamin,sucralfate,Unknown
cyanocobalamin,clozapine,Unknown
cyanocobalamin,leflunomide,Unknown
cyanocobalamin,methylprednisolone,Unknown
cyanocobalamin,hydrocortisone,Unknown
cyanocobalamin,fluorouracil,Unknown
cyanocobalamin,estazolam,Unknown
cyanocobalamin,dexamethasone,Unknown
cyanocobalamin,folic acid,Unknown
cyanocobalamin,chloramphenicol,Moderate
cyanocobalamin,prednisolone,Unknown
cyanocobalamin,potassium chloride,Minor
cyanocobalamin,acetylcysteine,Unknown
cyanocobalamin,docetaxel,Unknown
cyanocobalamin,piroxicam,Unknown
cyanocobalamin,budesonide,Unknown
cyanocobalamin,ondansetron,Unknown
cyanocobalamin,calcitriol,Unknown
cyanocobalamin,triamcinolone,Unknown
cyanocobalamin,rifampicin,Unknown
cyanocobalamin,isoniazid,Unknown
cyanocobalamin,ofloxacin,Unknown
cyanocobalamin,ciprofloxacin,Unknown
cyanocobalamin,lamivudine,Unknown
cyanocobalamin,voriconazole,Unknown
cyanocobalamin,paclitaxel,Unknown
cyanocobalamin,topiramate,Unknown
cyanocobalamin,timolol,Unknown
cyanocobalamin,latanoprost,Unknown
cyanocobalamin,sodium bicarbonate,Unknown
cyanocobalamin,ritonavir,Unknown
cyanocobalamin,fluticasone,Unknown
cyanocobalamin,lidocaine,Unknown
cyanocobalamin,meloxicam,Unknown
cyanocobalamin,bortezomib,Unknown
cyanocobalamin,oxaliplatin,Unknown
cyanocobalamin,ibuprofen,Unknown
cyanocobalamin,carvedilol,Unknown
cyanocobalamin,mefenamic acid,Unknown
cyanocobalamin,pregabalin,Unknown
cyanocobalamin,metformin,Unknown
cyanocobalamin,cisplatin,Unknown
cyanocobalamin,sulfasalazine,Unknown
cyanocobalamin,risperidone,Unknown
cyanocobalamin,mesalazine,Unknown
cyanocobalamin,tacrolimus,Unknown
cyanocobalamin,nystatin,Unknown
cyanocobalamin,cyclophosphamide,Unknown
cyanocobalamin,metronidazole,Unknown
cyanocobalamin,prednisone,Unknown
cyanocobalamin,diclofenac,Unknown
cyanocobalamin,lansoprazole,Minor
cyanocobalamin,valsartan,Unknown
cyanocobalamin,nifedipine,Unknown
cyanocobalamin,methotrexate,Unknown
cyanocobalamin,isosorbide dinitrate,Unknown
cyanocobalamin,clotrimazole,Unknown
cyanocobalamin,acetylsalicylic acid,Unknown
cyanocobalamin,furosemide,Unknown
cyanocobalamin,celecoxib,Unknown
cyanocobalamin,linezolid,Unknown
cyanocobalamin,entacapone,Unknown
cyanocobalamin,hydrochlorothiazide,Unknown
cyanocobalamin,clarithromycin,Unknown
cyanocobalamin,fenofibrate,Unknown
cyanocobalamin,simvastatin,Unknown
cyanocobalamin,aripiprazole,Unknown
cyanocobalamin,famotidine,Minor
cyanocobalamin,erythromycin,Unknown
cyanocobalamin,ketoprofen,Unknown
cyanocobalamin,irbesartan,Unknown
cyanocobalamin,digoxin,Unknown
cyanocobalamin,gemfibrozil,Unknown
cyanocobalamin,isosorbide mononitrate,Unknown
cyanocobalamin,carbamazepine,Unknown
cyanocobalamin,exemestane,Unknown
cyanocobalamin,cimetidine,Minor
dutasteride,ketoconazole,Moderate
dutasteride,fluconazole,Moderate
dutasteride,sucralfate,Unknown
dutasteride,hydrocortisone,Unknown
dutasteride,enzalutamide,Moderate
dutasteride,dexamethasone,Unknown
dutasteride,folic acid,Unknown
dutasteride,chloramphenicol,Moderate
dutasteride,prednisolone,Unknown
dutasteride,tretinoin,Unknown
dutasteride,potassium chloride,Unknown
dutasteride,apalutamide,Moderate
dutasteride,dasatinib,Moderate
dutasteride,docetaxel,Unknown
dutasteride,budesonide,Unknown
dutasteride,ondansetron,Unknown
dutasteride,ribociclib,Moderate
dutasteride,calcitriol,Unknown
dutasteride,triamcinolone,Unknown
dutasteride,paclitaxel,Unknown
dutasteride,fluticasone,Unknown
dutasteride,lidocaine,Unknown
dutasteride,oxaliplatin,Unknown
dutasteride,crizotinib,Moderate
dutasteride,ibuprofen,Unknown
dutasteride,lorlatinib,Moderate
dutasteride,metformin,Unknown
dutasteride,sulfasalazine,Unknown
dutasteride,mesalazine,Unknown
dutasteride,tacrolimus,Moderate
dutasteride,nystatin,Unknown
dutasteride,cyclophosphamide,Unknown
dutasteride,metronidazole,Unknown
dutasteride,prednisone,Unknown
dutasteride,diclofenac,Unknown
dutasteride,lansoprazole,Unknown
dutasteride,methotrexate,Unknown
dutasteride,palbociclib,Moderate
dutasteride,clotrimazole,Moderate
dutasteride,brigatinib,Moderate
dutasteride,acetylsalicylic acid,Unknown
dutasteride,celecoxib,Unknown
dutasteride,clarithromycin,Moderate
dutasteride,simvastatin,Unknown
dutasteride,deferasirox,Moderate
dutasteride,famotidine,Unknown
dutasteride,erythromycin,Moderate
dutasteride,cimetidine,Moderate
etanercept,ibrutinib,Major
etanercept,medroxyprogesterone acetate,Moderate
